id,subject,prompt,A,B,C,D,E,answer
1083,us_history,The Progressive movement could most accurately be described as a,working-class response to low wages and long hours.,conservative reaction to immigration.,middle-class response to urbanization and industrialization.,rural response to falling farm prices and powerful banks.,Southern response to the power of Northern politicians.,C
1084,us_history,Theodore Roosevelt used his position as president to,push for measures to protect the environment.,advance a socialist agenda.,reform the banking system.,convince Americans to join World War I.,argue for a strict interpretation of the Constitution.,A
1085,us_history,The passage of the Federal Reserve Act was important because it,made up for revenue lost by the Underwood Tariff.,centralized financial power in one city—New York.,allowed the president to set interest rates.,created a mechanism to regulate the money supply.,nationalized banks in the United States.,D
1086,us_history,All of the following led to World War I EXCEPT,the rise of capitalism.,the formation of alliances.,imperialism.,the desire for self-determination among nations.,extreme nationalism.,A
1087,us_history,The immediate cause of the United States's entrance into World War I was the,assassination of Archduke Franz Ferdinand of Austria.,announcement by Germany of the use of unrestricted submarine warfare.,sinking of the Lusitania.,Zimmermann Note.,"attack on Pearl Harbor, Hawaii.",B
1088,us_history,"Woodrow Wilson's Fourteen Points, written in 1918, aimed to",guarantee that all people live under a democracy.,spread U.S. influence in the world.,shift U.S. policy from isolation to involvement.,establish a peacekeeping force in Europe.,prevent future wars by rectifying the causes of World War I.,E
1089,us_history,Henry Cabot Lodge objected to the League of Nations on the grounds that it,violated the Constitution.,might lead the United States into future wars.,was too idealistic to be workable.,was to be located outside of the United States.,violated the principals of self-determination.,B
1090,us_history,The National Origins Act of 1924,favored immigration from all parts of Europe because America needed European workers.,greatly reduced the number of immigrants from Eastern and Southern Europe.,favored immigration from Asia and Africa because the immigrants were likely to work for low wages.,had little impact on the flow of immigrants into the United States.,led to an immigration movement of U. S. residents back to Europe.,B
1091,us_history,"This African American leader thought the way for African Americans to improve their position in American society was to gain vocational training to obtain jobs in agriculture, craft work, and manufacturing.",Booker T. Washington,W. E. DuBois,Marcus Garvey,Malcolm X,Martin Luther King Jr.,A
1092,us_history,Margaret Sanger is best known for,being the first female cabinet member in a presidential administration.,devoting her adult life to pushing for women to have the right to vote.,advocating prohibition.,singing jazz songs.,opening the first birth control clinic in the United States.,E
1093,us_history,Which of the following was not a cause of the Great Migration?,The need for workers in munitions plants during World War I,Lynchings in Southern towns,Jim Crow laws,The Great Depression,The failure of cotton crops in the 1910s,D
1094,us_history,A major cause of the Depression of 1929 was,too few dollars in circulation.,"overproduction and overconsumption of goods, creating a shortage of goods.","overproduction and underconsumption of goods, causing the prices of goods to decrease.",an increase in the number of exports.,low tariffs.,C
1095,us_history,"When Herbert Hoover was elected president in 1928, the U.S. economy appeared to be in a",depression.,recession.,period of prosperity.,recovery.,bank crisis.,C
1096,us_history,FDR and Herbert Hoover differed in that,"FDR believed in rugged individualism, while Herbert Hoover believed that the individual was capable of raising himself/herself above the Depression.","Herbert Hoover believed that the government and the people had a duty to help those suffering from the depression, while FDR believed in laissez-faire.","FDR supported the idea of ""priming the pump"" with government money to end the Depression, while Herbert Hoover believed in direct relief to the people suffering from the Depression.","Herbert Hoover believed in rugged individualism, while FDR believed in ""priming the pump"" with government funds to end the Depression.","FDR was willing to take control of legislation to end the Depression even without the support of Congress, while Herbert Hoover believed in expanding the powers of the presidency to deal with the Depression.",D
1097,us_history,Franklin D. Roosevelt's administration began with,a court-packing scheme.,an end to speculation in stocks and the stock market.,a decrease in unemployment.,the establishment of the Social Security system.,a bank holiday.,E
1098,us_history,"Which of the following organizations, born in the 1930s, focused on organizing unskilled workers?",Congress of Industrial Organizations,Industrial Workers of the World,Knights of Labor,American Federation of Labor,Communist Party,A
1099,us_history,Pick the answer that correctly matches the artist and the cultural product he or she created: X)    John Steinbeck Y)    Frank Capra Z)    Margaret Mitchell 1)    Mr. Smith Goes to Washington 2)    The Good Earth 3)    The Grapes of Wrath 4)    Gone With the Wind 5)    Waiting for Lefty Answer choices:,X-2; Y-4; Z-5,X-3; Y-2; Z-4,X-5; Y-2; Z-2,X-3; Y-4; Z-1,X-3; Y-1; Z-4,E
1100,us_history,Sit-down strikes proved to be a successful strategy for some unions in the 1930s primarily because they,were enthusiastically supported by the Roosevelt administration.,prevented damage to company property.,prevented the factory owners from carrying on production with strikebreakers.,tended to gain public sympathy.,were protected by federal legislation.,C
1101,us_history,The National Industrial Recovery Act and the Wagner Act both dealt with the issue of,the government's right to set price controls.,employers' rights to exclude women from their workforce.,workers' rights to organize unions.,states' rights to regulate interstate trade.,corporations' rights to cooperate in setting industrywide standards.,C
1102,us_history,"The Washington Conference, held in 1921, resulted in",an undermining of the authority of the United Nations.,"treaties of disarmament among Great Britain, Japan, and the United States.",an end to Japanese aggression in China.,the development of the Stimson Doctrine.,the rise of Mussolini in Italy.,B
1103,us_history,The United States demonstrated its support for the Allies before it entered World War II by,the announcement of the Stimson Doctrine.,its reaction to the sinking of the Panay by Japan.,the adoption of the policy of Lend-Lease.,its participation in the League of Nations.,its participation in the Washington Conference in 1921.,C
1104,us_history,All of the following were principles outlined in the Atlantic Charter by FDR and Winston Churchill EXCEPT,freedom of the seas.,self-determination.,disarmament.,the destruction of Nazi tyranny.,territorial aggrandizement by Great Britain and the United States.,E
1105,us_history,Which of the following was a result of the Munich Pact of 1938?,The rise of Franco in Spain,The nonaggression treaty signed between the USSR and Germany in 1939,The German invasion of Czechoslovakia in 1939,V-E Day,The Atlantic Charter,C
1106,us_history,NATO was formed primarily to stop the spread of Communism in,Asia.,Europe.,South America.,Africa.,the Middle East.,B
1107,us_history,"In the years after World War II, President Truman's foreign policy was focused chiefly on",nuclear testing.,economic growth in underdeveloped countries.,containment of international communism.,diplomatic relations with Eastern European nations.,creation of cultural links with Red China.,C
1108,us_history,The reaction by Western Europe to the Berlin blockade was the,invasion of East Germany.,threat to increase nuclear arms.,use of spy satellites.,boycott of Soviet goods.,Berlin airlift.,E
1109,us_history,"For Western Europe, the Marshall Plan provided",military assistance.,cultural links.,technology.,economic aid.,medical goods and equipment.,D
1110,us_history,Julius and Ethel Rosenberg were tried for and found guilty of,spying for Nazi Germany.,inciting opposition to World War II.,being communists.,providing information about the atomic bomb to the Soviet Union.,violating tax laws.,D
1111,us_history,Which of the following was NOT considered an important factor in the rise of suburbia after World War II?,The building of new highways,The G.I. Bill,The construction of new train lines,White flight,A housing shortage in cities following World War II,C
1112,us_history,All of the following are associated with the anti-communist movement of the late 1940s and 1950s EXCEPT the,"hearings of the ""Hollywood Ten.""",trial of Julius and Ethel Rosenberg.,McCarren Act.,G.I. Bill.,Army-McCarthy hearings.,D
