id,subject,prompt,A,B,C,D,E,answer
1,world_history,Sumer and Egypt were similar in all of the following ways EXCEPT,agricultural dependence on the silt left behind by flooding,belief in a polytheistic religion centered on deities of nature,enjoyment of protection from invasion by natural barriers,development of distinct systems of written language,engagement in trade with other nearby cultures,C
2,world_history,A follower of the Chinese philosophy of Daoism would MOST agree with which statement?,Government intrusiveness should be kept to a minimum.,Government works best when run by well-educated men.,Government should be focused on strengthening the state.,Governments that allow too much freedom are doomed to fail.,Governments have an obligation to suppress independent thought.,A
3,world_history,Which of these was NOT a characteristic of early humans in the Paleolithic Age?,Ability to make and use simple tools,Tendency to live in permanent settlements,Reliance on hunting and gathering techniques,Propensity for creating artistic cave drawings,Mastery of fire for cooking and heating purposes,B
4,world_history,Buddhism was founded in part as a response to questions about which faith?,Islam,Daoism,Judaism,Hinduism,Christianity,D
5,world_history,The Kush city of Meroe rose to prominence mainly because of its natural supply of,salt,iron,gold,grain,silver,B
6,world_history,"During the first Punic War, the Romans were MOST interested in acquiring Sicily because it",offered an array of natural resources,could serve as a strategic military base,would allow Rome to avenge civilian losses,would increase Rome's ability to trade with the East,could serve as a key location in a Carthaginian invasion of Italy,A
7,world_history,The Battle of Thermopylae was key to Athenian victory in the Persian War because it,prevented the Persians from reaching and sacking Athens itself,wiped out a large portion of the Persian army before it reached Athens,delayed the Persians' approach and gave the Athenians time to prepare,eliminated the Persian navy and forced them to rely on a land attack,weakened Persian morale and left the soldiers unwilling to fight,C
8,world_history,Who split the Roman Empire into two halves?,Augustus,Diocletian,Julius Caesar,Constantine,Marc Antony,B
9,world_history,Usage of the Silk Roads for trade declined near the end of the Han dynasty primarily due to,economic conditions that made long-distance trade too expensive,constant warfare that made roads unsafe for travel,a decrease in the demand for silk goods in the Mediterranean,a devastating shortage of Chinese silk,epidemic disease that traveled along the roads and decimated the population,E
10,world_history,"During the Dorian period, Greece experienced food shortages as the result of a",period of unusually warm and dry weather conditions,decrease in trade with other Mediterranean cultures,long-term agricultural blight that damaged crops,trend of immigration out of the Greek mainland,war with Persia that used significant resources,D
11,world_history,"When the Mongols took control of China and established the Yuan dynasty, they did all of the following EXCEPT",build their own communities separate from the Chinese,adopt the Chinese form of centralized government,attempt to invade Japan and Southeast Asia,establish a new version of the civil service exam,allow for greater religious freedom,D
12,world_history,"The invasion of the Byzantine territory by the Seljuk Turks led to a weakening of the Byzantine Empire, primarily due to",the political unrest and civil war that spread throughout the empire,a reduction in both food supply and the ability to collect taxes,a disruption of trade with other Mediterranean cultures,a widespread religious upheaval and Islamic conversion,the outbreak of epidemic disease that decimated the population,B
13,world_history,"In the ninth century, the Vikings invaded other European communities primarily to",decide territorial disputes,incite religious fervor,resolve food shortages,establish trade embargoes,cause economic distress,C
14,world_history,The reemergence of trade brought about by the Crusades was mainly facilitated through the shipping ports of which country?,France,Spain,Greece,Portugal,Italy,E
15,world_history,Which of the following statements about how the Maya and the Aztec were similar is INCORRECT?,They both had a three-tiered social class system.,They both practiced ritual human sacrifice.,They both occupied part of the Yucatán Peninsula.,They both were conquered by the Spaniards.,They both were made up of a collection of city-states.,D
